City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Fall,Snow Fall
20,Den Helder,NL,2020-04-20 00:15:52,52.96,4.76,48.2,61,0,20.8,clear sky,0.0,0.0
21,Butaritari,KI,2020-04-20 00:18:22,3.07,172.79,83.39,73,23,8.81,light rain,0.95,0.0
22,Salalah,OM,2020-04-20 00:18:22,17.02,54.09,82.4,69,40,5.82,scattered clouds,0.0,0.0
23,Upernavik,GL,2020-04-20 00:18:22,72.79,-56.15,26.91,84,94,26.26,overcast clouds,0.0,0.0
24,Busselton,AU,2020-04-20 00:18:22,-33.65,115.33,62.01,59,78,20.2,broken clouds,0.0,0.0
25,Ouadda,CF,2020-04-20 00:18:23,8.08,22.4,69.71,69,84,4.21,broken clouds,0.0,0.0
26,Port Alfred,ZA,2020-04-20 00:13:27,-33.59,26.89,68.0,86,14,7.36,few clouds,0.0,0.0
27,Mount Gambier,AU,2020-04-20 00:18:23,-37.83,140.77,60.8,67,40,18.34,scattered clouds,0.0,0.0
28,Tumpat,MY,2020-04-20 00:14:04,6.2,102.17,80.6,88,20,3.36,few clouds,0.0,0.0
29,Padang,ID,2020-04-20 00:18:26,-0.95,100.35,78.73,76,17,4.21,few clouds,0.0,0.0
30,Bredasdorp,ZA,2020-04-20 00:18:26,-34.53,20.04,53.6,87,6,4.7,clear sky,0.0,0.0
31,Micheweni,TZ,2020-04-20 00:18:28,-4.97,39.83,79.32,80,100,15.82,light rain,1.1,0.0
32,Urusha,RU,2020-04-20 00:18:28,54.05,122.9,21.7,71,93,14.52,overcast clouds,0.0,0.0
33,New Norfolk,AU,2020-04-20 00:18:29,-42.78,147.06,57.99,91,100,7.74,light rain,0.0,0.0
34,Lavrentiya,RU,2020-04-20 00:18:29,65.58,-171.0,21.18,91,100,8.16,overcast clouds,0.0,0.0
35,Yenagoa,NG,2020-04-20 00:18:29,4.92,6.26,75.58,90,95,1.5,overcast clouds,0.0,0.0
36,Vaini,TO,2020-04-20 00:15:11,-21.2,-175.2,84.2,74,40,8.05,scattered clouds,0.0,0.0
37,Rikitea,PF,2020-04-20 00:14:40,-23.12,-134.97,77.07,67,100,5.99,overcast clouds,0.0,0.0
38,Kashi,CN,2020-04-20 00:18:30,39.45,75.98,51.8,76,75,6.71,broken clouds,0.0,0.0
39,Mahebourg,MU,2020-04-20 00:18:30,-20.41,57.7,75.2,88,40,11.41,scattered clouds,0.0,0.0
40,Dudinka,RU,2020-04-20 00:09:09,69.41,86.18,37.4,74,100,26.84,overcast clouds,0.0,0.0
41,Traralgon,AU,2020-04-20 00:18:31,-38.18,146.53,69.01,55,86,5.99,overcast clouds,0.0,0.0
42,Bambous Virieux,MU,2020-04-20 00:08:33,-20.34,57.76,75.2,88,40,11.41,scattered clouds,0.0,0.0
43,Pevek,RU,2020-04-20 00:18:32,69.7,170.31,9.91,94,100,6.98,light snow,0.0,0.14
44,Mookane,BW,2020-04-20 00:18:32,-23.69,26.66,65.35,47,23,6.17,few clouds,0.0,0.0
45,Munster,DE,2020-04-20 00:13:38,51.96,7.63,48.2,36,0,6.93,clear sky,0.0,0.0
46,Hilo,US,2020-04-20 00:13:50,19.73,-155.09,82.4,51,1,12.75,clear sky,0.0,0.0
47,Hamilton,US,2020-04-20 00:14:26,39.18,-84.53,55.99,54,75,9.17,broken clouds,0.0,0.0
48,Punta Arenas,CL,2020-04-20 00:14:08,-53.15,-70.92,42.8,78,20,23.04,few clouds,0.0,0.0
49,Lebu,CL,2020-04-20 00:18:34,-37.62,-73.65,55.83,74,100,9.84,overcast clouds,0.0,0.0
50,Bethel,US,2020-04-20 00:18:35,41.37,-73.41,55.99,37,1,13.87,clear sky,0.0,0.0
51,Qaqortoq,GL,2020-04-20 00:08:48,60.72,-46.03,28.4,58,0,4.7,clear sky,0.0,0.0
52,Kutum,SD,2020-04-20 00:18:35,14.2,24.67,63.57,18,97,3.29,overcast clouds,0.0,0.0
53,Vardo,NO,2020-04-20 00:14:45,70.37,31.11,38.88,90,100,17.13,overcast clouds,0.0,0.0
54,Sao Filipe,CV,2020-04-20 00:18:36,14.9,-24.5,71.82,74,0,19.71,clear sky,0.0,0.0
55,Kapaa,US,2020-04-20 00:18:36,22.08,-159.32,80.6,61,1,10.29,clear sky,0.0,0.0
56,San Antonio,US,2020-04-20 00:16:36,29.42,-98.49,91.4,11,1,9.17,clear sky,0.0,0.0
57,Launceston,AU,2020-04-20 00:18:37,-41.45,147.17,54.0,93,90,17.22,moderate rain,0.0,0.0
58,Poiana Blenchii,RO,2020-04-20 00:18:37,47.3,23.75,41.0,71,55,2.24,broken clouds,0.0,0.0
59,Rosarito,MX,2020-04-20 00:18:35,32.33,-117.03,62.01,72,90,17.22,overcast clouds,0.0,0.0
60,Ancud,CL,2020-04-20 00:18:37,-41.87,-73.82,50.0,81,40,5.82,scattered clouds,0.0,0.0
61,Santa Fe,AR,2020-04-20 00:05:44,-31.63,-60.7,73.0,63,0,3.0,clear sky,0.0,0.0
62,Mareeba,AU,2020-04-20 00:18:38,-17.0,145.43,88.0,81,53,3.0,broken clouds,0.0,0.0
63,Kaitangata,NZ,2020-04-20 00:18:38,-46.28,169.85,55.22,54,52,12.28,broken clouds,0.0,0.0
